Date,P1,P2,P3,P4
01-01-2016,3030.190674,180.3318176,180.5119324,2409.921631
02-01-2016,1034.125977,92.04090118,254.5237579,1092.091431
03-02-2016,1242.952759,79.23777008,357.8667908,1284.484741
04-02-2016,2894.078125,80.24687958,343.4746399,1714.793823
05-02-2016,2043.140869,96.40739441,348.9000244,1944.135742
06-02-2016,2383.028564,112.8940964,364.3547058,2176.794189
07-02-2016,2300.347168,121.5931015,395.7670288,2125.679688
08-02-2016,2569.729492,114.037941,402.4457397,2239.142578
09-01-2016,2314.630127,117.5720291,400.1111145,2508.467773
10-01-2016,2436.523438,126.0009003,379.3564148,2398.709229
11-01-2016,2457.388916,128.1150055,377.89505,2484.327881
12-01-2016,3035.398682,127.6538315,403.2110291,2699.643066
01-01-2017,2788.058594,130.8381195,413.2789917,2436.885498
01-31-2017,2330.748535,126.4809189,430.2172546,2451.411865
03-03-2017,1945.157227,123.7874069,432.8833008,2491.33667
04-02-2017,2615.159424,126.1298294,414.233551,2440.94873
05-02-2017,2594.171143,128.0238037,379.046814,2310.755127
06-02-2017,2541.228027,135.1186371,371.0818481,2362.924316
07-02-2017,2687.958008,140.2716064,389.9239197,2333.661621
08-02-2017,1979.48584,135.61409,379.1288147,2216.014893
09-01-2017,2424.186279,134.2036591,362.0700073,2122.123291
10-02-2017,2492.612061,128.3304291,327.687439,1987.677124
11-01-2017,2464.561035,135.9481659,343.0555725,1964.969971
12-02-2017,2516.795654,140.4444122,356.3231812,2115.77832
01-01-2018,2512.706055,149.3652496,396.6660156,2589.126709
01-31-2018,2090.579834,152.2464142,418.3675232,2719.009521
03-03-2018,2585.665771,151.6971283,417.6809387,2714.30542
04-02-2018,2349.68457,152.5905609,418.4798584,2702.463379
05-03-2018,2665.440918,151.3757324,404.8422852,2639.526611
06-02-2018,2256.298096,150.1065063,397.1989136,2578.662109
07-03-2018,2777.041016,153.5360413,392.9311829,2487.351563
08-02-2018,2910.753418,159.3491821,387.3112183,2570.578369
09-01-2018,2967.217529,171.7149048,366.3912354,2538.568359
10-02-2018,3258.848145,180.0851746,415.5855408,3045.492676
11-01-2018,3158.019287,178.7552948,424.2344055,3051.68457
12-02-2018,3111.239258,170.2328033,410.8861084,3025.766602
01-01-2019,3310.944824,166.1627045,394.1715393,2901.067871
02-01-2019,3227.010254,171.239563,392.8027344,2726.820801
03-03-2019,3472.062744,166.598938,375.4674377,2531.549072
04-03-2019,3395.721436,178.3339386,358.3701477,2763.689697
05-03-2019,3360.764893,182.837677,356.1911926,2938.469482
06-02-2019,3231.699219,182.2952118,308.1832581,2874.37207
07-03-2019,3314.706299,178.6106567,274.1906128,2741.992188
08-02-2019,3220.149414,164.5517578,247.2098846,2269.479492
09-02-2019,2952.206543,151.9630737,244.3818665,2291.25
10-02-2019,3414.459961,166.5822906,250.1877441,2483.342773
11-02-2019,3510.30127,174.5858002,244.9015656,2392.067139
12-02-2019,3694.57251,174.96492,255.4154358,2433.126953
01-01-2020,1405.046631,174.1073914,259.6816711,2462.834961
02-01-2020,2347.40625,175.2514343,276.8086548,2485.271484
03-02-2020,2346.437256,174.2645721,263.3668213,2466.730713
04-02-2020,1455.431519,187.05896,304.40802,1599.772339
05-02-2020,2043.508179,164.3431854,279.8697205,1803.133179
06-02-2020,2574.936523,182.3224182,348.0129089,2006.19458
07-02-2020,2748.050781,229.7801208,470.7215271,3187.280762
08-02-2020,2844.530762,213.4249115,487.5864563,3244.774658
09-01-2020,2457.968262,210.1481476,365.879425,2743.598877
10-01-2020,2308.686279,219.45047,322.4415894,2459.129395
